epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7631,4.09818,4.67712,3.19259,0.0007,0.07143,0.00273,0.00056,3.25558,4.49036,3.26981,0.0002,0.0002,0.0982
2,134.624,3.3594,4.34577,2.43703,0.00076,0.07692,0.0031,0.0013,3.09197,4.364,2.84318,0.0004835,0.0004835,0.0954835
3,204.71,3.14899,4.00893,2.3245,0.0002,0.02198,0.00024,2e-05,3.49618,4.30582,3.42739,0.0007472,0.0007472,0.0927472
4,275.713,3.0841,3.90908,2.236,0.0007,0.08791,0.01265,0.00139,3.83649,4.10638,3.62967,0.0009911,0.0009911,0.0899911
5,332.859,2.87587,3.67602,2.1832,0.001,0.10989,0.00395,0.00043,3.88181,4.14313,3.47069,0.0012152,0.0012152,0.0872152
6,371.384,2.83958,3.60034,2.23066,0.00036,0.02198,0.00028,3e-05,4.53342,5.7494,3.8471,0.0014195,0.0014195,0.0844195
7,407.32,2.89533,3.33861,2.22918,0.0004,0.01099,0.00025,4e-05,4.65045,19.8386,3.98528,0.001604,0.001604,0.081604
8,436.103,2.72451,3.28568,2.18887,0.0004,0.01099,0.00025,4e-05,4.68897,8.05639,3.9116,0.0017687,0.0017687,0.0787687
9,470.431,2.90357,3.10089,2.21889,0.00093,0.06044,0.00398,0.00059,4.26967,4.71993,3.40683,0.0019136,0.0019136,0.0759136
10,506.175,2.88882,3.0158,2.16207,0.00218,0.13187,0.00612,0.00086,4.34169,5.02687,3.52174,0.0020387,0.0020387,0.0730387
11,559.434,2.77105,3.07122,2.1247,0.0094,0.12637,0.01179,0.00183,4.43114,8.65881,3.67055,0.002144,0.002144,0.070144
12,616.33,2.68084,3.13752,2.11604,0.23842,0.01332,0.00671,0.00157,4.40061,30.2632,3.73274,0.0022295,0.0022295,0.0672295
13,711.577,2.76071,2.92584,2.11944,0.01348,0.1044,0.01427,0.00331,4.52769,18.5117,3.7106,0.0022952,0.0022952,0.0642952
14,753.957,2.78584,2.93905,2.10627,0.00089,0.02198,0.00248,0.00062,4.83516,6.72311,3.92382,0.0023411,0.0023411,0.0613411
15,795.088,2.59927,2.90854,2.07127,0.00089,0.02198,0.00248,0.00062,4.83516,6.72311,3.92382,0.0023672,0.0023672,0.0583672
16,854.112,2.71854,2.94534,2.10156,0.62835,0.00549,0.00998,0.00226,4.95574,5.98713,4.03391,0.0023735,0.0023735,0.0553735
17,920.347,2.50613,2.88135,2.02702,0.47662,0.01099,0.00818,0.00122,4.85326,4.80045,3.85757,0.00236,0.00236,0.05236
18,1004.94,2.64087,2.78852,2.04253,0.47662,0.01099,0.00818,0.00122,4.85326,4.80045,3.85757,0.0023267,0.0023267,0.0493267
19,1082.98,2.59014,2.75888,2.01512,0.553,0.01648,0.00408,0.00059,4.61784,4.19957,3.46668,0.0022736,0.0022736,0.0462736
20,1174.78,2.53815,2.75619,1.98513,0.70025,0.0273,0.0266,0.00297,4.26787,3.94482,3.08734,0.0022007,0.0022007,0.0432007
21,1269.25,2.61982,2.9306,2.26858,0.70025,0.0273,0.0266,0.00297,4.26787,3.94482,3.08734,0.002108,0.002108,0.040108
22,1338.13,2.53425,2.84955,2.1781,0.17432,0.05994,0.01284,0.00176,4.17728,3.84902,2.96911,0.0019955,0.0019955,0.0369955
23,1392.13,2.47477,2.76216,2.13729,0.17432,0.05994,0.01284,0.00176,4.17728,3.84902,2.96911,0.0018632,0.0018632,0.0338632
24,1436.66,2.51008,2.75241,2.13362,0.23556,0.01648,0.00294,0.0005,4.32576,3.69974,3.08489,0.0017111,0.0017111,0.0307111
25,1492.53,2.27923,2.55313,2.09294,0.23556,0.01648,0.00294,0.0005,4.32576,3.69974,3.08489,0.0015392,0.0015392,0.0275392
26,1555.22,2.44264,2.6578,2.10024,0.32032,0.04945,0.01083,0.00137,4.24427,3.54444,3.05734,0.0013475,0.0013475,0.0243475
27,1619.69,2.42243,2.49988,2.07474,0.32233,0.04945,0.01283,0.00174,4.24427,3.54444,3.05734,0.001136,0.001136,0.021136
28,1696.18,2.32335,2.53222,2.11332,0.49106,0.09341,0.0405,0.00572,3.98562,3.3128,2.88433,0.0009047,0.0009047,0.0179047
29,1788,2.53012,2.50022,2.09995,0.49368,0.1044,0.04632,0.0065,3.98562,3.3128,2.88433,0.0006536,0.0006536,0.0146536
30,1889.46,2.39751,2.46197,2.06917,0.48987,0.06593,0.03436,0.00473,3.98562,3.3128,2.88433,0.0003827,0.0003827,0.0113827
