epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.0505,3.75305,4.53894,2.87827,0.00031,0.03297,0.00099,0.00021,3.39708,4.39861,2.96744,0.0005,0.0005,0.0955
2,180.742,3.21047,4.13172,2.3221,0.00078,0.11538,0.00217,0.00039,3.39922,4.28248,2.85576,0.00107822,0.00107822,0.0900782
3,234.554,3.06483,3.79527,2.29944,5e-05,0.00549,3e-05,0,3.41333,4.23579,2.95832,0.00163268,0.00163268,0.0846327
4,308.752,3.1205,3.7627,2.26717,0.00643,0.12637,0.00948,0.00149,3.52021,88.1926,2.87736,0.00216338,0.00216338,0.0791634
5,394.65,2.91264,3.57774,2.20713,0.24447,0.00549,0.01266,0.0017,3.8129,15.8595,3.09673,0.00267032,0.00267032,0.0736703
6,506.342,2.86828,3.47795,2.21769,0.00287,0.07143,0.0026,0.00053,4.02296,4.17203,3.37526,0.0031535,0.0031535,0.0681535
7,610.398,2.9045,3.29158,2.2366,0.00031,0.02198,0.00019,3e-05,5.15944,232.567,9.49446,0.00361292,0.00361292,0.0626129
8,724.12,2.80065,3.3582,2.21627,0.00031,0.02198,0.00019,3e-05,5.15944,232.567,9.49446,0.00404858,0.00404858,0.0570486
9,814.299,2.86247,3.25258,2.25063,0.07701,0.00549,4e-05,0,5.70004,974.27,12.7194,0.00446048,0.00446048,0.0514605
10,885.655,2.96972,3.23968,2.25567,0,0,0,0,6.1322,1992.04,21.0686,0.00484862,0.00484862,0.0458486
11,961.725,2.92008,3.38981,2.28133,0,0,0,0,6.1322,1992.04,21.0686,0.005213,0.005213,0.040213
12,1051.95,2.86717,3.39421,2.25447,0,0,0,0,6.32074,1329.06,13.93,0.00555362,0.00555362,0.0345536
13,1145.66,2.89961,3.19735,2.26428,0,0,0,0,6.32074,1329.06,13.93,0.00587048,0.00587048,0.0288705
14,1267.19,2.94212,3.22107,2.20545,0,0,0,0,6.32074,1329.06,13.93,0.00616358,0.00616358,0.0231636
15,1394.09,2.71642,3.1466,2.20698,0,0,0,0,5.53425,245.976,8.27695,0.00643292,0.00643292,0.0174329
16,1439.82,2.91862,3.14963,2.24654,0,0,0,0,5.53425,245.976,8.27695,0.0066785,0.0066785,0.0116785
17,1489.36,2.74263,3.11365,2.20646,0,0,0,0,4.66563,236.774,4.22485,0.006832,0.006832,0.006832
18,1553.79,2.7484,3.03389,2.15602,0,0,0,0,4.66563,236.774,4.22485,0.006634,0.006634,0.006634
19,1598.4,2.79821,2.98767,2.15343,0,0,0,0,4.66563,236.774,4.22485,0.006436,0.006436,0.006436
20,1644.65,2.74108,3.01042,2.13043,0,0,0,0,4.00479,21.1619,3.1368,0.006238,0.006238,0.006238
21,1692.58,2.77731,2.89654,2.20836,0,0,0,0,4.00479,21.1619,3.1368,0.00604,0.00604,0.00604
22,1761.62,2.69609,2.90455,2.06298,0,0,0,0,4.00479,21.1619,3.1368,0.005842,0.005842,0.005842
23,1809.21,2.67319,2.90687,2.11736,0.46681,0.03846,0.00549,0.00063,3.88088,4.13412,2.94452,0.005644,0.005644,0.005644
24,1852.47,2.74018,2.78707,2.1383,0.46681,0.03846,0.00549,0.00063,3.88088,4.13412,2.94452,0.005446,0.005446,0.005446
25,1886.22,2.70401,3.045,2.22823,0.39679,0.03297,0.00867,0.00102,3.8981,3.94067,2.96217,0.005248,0.005248,0.005248
